aX,aY,aZ,gX,gY,gZ
-0.013,0.673,-0.729,94.482,35.156,-26.978
-0.008,0.604,-0.690,94.299,31.738,-30.518
-0.002,0.545,-0.640,90.576,29.114,-30.762
-0.010,0.500,-0.582,84.412,26.917,-28.625
-0.020,0.474,-0.530,78.003,25.574,-26.123
-0.037,0.458,-0.493,74.036,25.513,-23.376
-0.049,0.432,-0.470,72.571,25.879,-21.240
-0.037,0.402,-0.458,71.350,25.635,-18.799
-0.038,0.364,-0.435,67.139,24.231,-16.907
-0.054,0.336,-0.380,60.120,20.813,-16.052
-0.069,0.314,-0.328,53.955,17.456,-16.113
-0.078,0.302,-0.305,50.903,15.686,-15.930
-0.088,0.297,-0.299,48.645,13.733,-16.785
-0.086,0.295,-0.301,46.326,11.047,-19.348
-0.084,0.288,-0.299,42.053,7.385,-22.827
-0.082,0.268,-0.280,35.461,3.845,-26.672
-0.081,0.258,-0.256,26.978,1.038,-29.236
-0.098,0.273,-0.225,19.592,-0.916,-27.588
-0.111,0.298,-0.229,15.564,-2.991,-21.851
-0.136,0.332,-0.237,11.292,-3.174,-17.029
-0.154,0.382,-0.243,5.188,-3.235,-13.977
-0.178,0.432,-0.253,0.183,-2.258,-11.230
-0.188,0.478,-0.260,-4.517,-0.854,-9.399
-0.195,0.518,-0.268,-8.179,0.366,-6.958
-0.214,0.576,-0.250,-11.169,0.977,-4.272
-0.219,0.649,-0.254,-11.353,1.770,-2.258
-0.224,0.731,-0.299,-8.301,2.563,-1.160
-0.226,0.789,-0.326,-5.127,2.014,-1.770
-0.234,0.824,-0.331,-4.272,0.244,-4.578
-0.230,0.844,-0.342,-4.639,-1.892,-7.263
-0.240,0.862,-0.341,-7.874,-3.723,-8.850
-0.257,0.893,-0.334,-12.390,-5.371,-8.423
-0.273,0.932,-0.341,-15.747,-5.676,-5.615

-0.426,1.633,-0.721,-10.742,16.785,-52.429
-0.361,1.751,-0.819,-3.174,22.949,-55.542
-0.291,1.855,-0.924,6.958,26.001,-57.678
-0.218,1.938,-1.015,19.165,26.184,-60.608
-0.125,1.996,-1.099,32.715,25.879,-63.416
-0.013,2.018,-1.184,45.898,26.794,-63.477
0.078,2.020,-1.228,54.016,27.710,-57.861
0.155,2.044,-1.227,58.533,27.527,-46.875
0.219,2.070,-1.237,67.078,28.381,-35.095
0.297,2.017,-1.240,79.529,28.870,-28.137
0.387,1.917,-1.193,92.651,26.672,-25.024
0.460,1.756,-1.125,107.422,22.949,-24.597
0.529,1.566,-1.064,120.361,19.104,-25.513
0.577,1.378,-0.972,127.502,13.855,-26.978
0.629,1.176,-0.853,130.737,7.141,-27.100
0.685,0.976,-0.717,130.371,1.648,-25.330
0.733,0.797,-0.569,125.427,-1.343,-21.240
0.787,0.660,-0.439,118.103,-1.953,-13.000
0.870,0.522,-0.326,107.544,-0.610,-4.883
0.955,0.412,-0.235,95.825,2.197,2.319
1.040,0.357,-0.193,90.454,3.418,16.907
1.200,0.293,-0.185,92.407,-1.526,32.898
1.291,0.204,-0.158,97.473,-15.015,45.959
1.306,0.095,-0.068,100.403,-38.574,53.284
1.301,-0.046,0.047,100.952,-63.110,49.011
1.295,-0.252,0.085,103.516,-83.862,38.147
1.258,-0.508,0.076,104.187,-104.797,29.053
1.189,-0.758,0.078,98.938,-125.854,27.832
1.080,-0.989,0.080,87.402,-143.433,33.813
0.927,-1.207,0.083,70.679,-157.043,42.053
0.744,-1.375,0.052,52.185,-165.710,51.880
0.575,-1.460,0.015,34.790,-171.326,61.401
0.404,-1.509,-0.058,22.888,-176.208,65.491
0.204,-1.544,-0.177,18.494,-181.824,63.782
0.009,-1.603,-0.238,15.564,-192.017,56.152
-0.199,-1.626,-0.318,10.559,-203.003,48.767
-0.391,-1.609,-0.400,2.991,-209.412,40.649
-0.628,-1.556,-0.443,-9.888,-212.097,32.654
-0.854,-1.519,-0.519,-26.550,-207.642,26.001
-1.105,-1.447,-0.639,-47.546,-193.665,24.963
-1.331,-1.303,-0.761,-75.317,-174.072,29.175
-1.531,-1.091,-0.888,-102.356,-152.588,35.217
-1.701,-0.834,-0.982,-128.479,-131.836,38.086
-1.812,-0.493,-1.027,-151.917,-114.075,35.522
-1.872,-0.091,-1.070,-165.405,-99.670,25.208
-1.892,0.295,-1.120,-166.626,-90.027,6.226
-1.903,0.645,-1.152,-163.208,-84.656,-19.287
-1.897,0.943,-1.137,-157.593,-78.064,-46.387
-1.864,1.209,-1.116,-154.663,-64.941,-65.857
-1.791,1.470,-1.131,-160.889,-46.021,-71.289
-1.713,1.745,-1.175,-169.678,-22.400,-61.829
-1.621,1.994,-1.214,-176.819,0.366,-44.678
-1.526,2.187,-1.254,-177.246,20.264,-28.870
-1.435,2.325,-1.250,-169.922,35.278,-18.250
-1.340,2.399,-1.226,-154.663,45.349,-15.076
-1.267,2.399,-1.228,-133.728,54.504,-16.541
-1.218,2.358,-1.205,-115.356,62.073,-17.578
-1.174,2.299,-1.165,-100.037,70.190,-16.907
-1.112,2.216,-1.138,-85.449,80.505,-16.418
-1.019,2.114,-1.117,-72.449,91.736,-17.822
-0.906,2.043,-1.076,-62.256,101.379,-20.325
-0.745,2.012,-1.057,-53.589,109.070,-23.437
-0.604,2.001,-1.065,-45.532,114.441,-25.879
-0.499,2.007,-1.034,-39.063,114.929,-27.466
-0.399,2.000,-1.011,-30.762,113.403,-30.640
-0.301,1.969,-1.029,-18.982,113.892,-35.828
-0.207,1.927,-1.041,-8.179,113.770,-40.466
-0.123,1.894,-1.048,0.793,112.061,-42.908
-0.052,1.873,-1.069,9.827,110.107,-43.213
0.007,1.841,-1.087,18.677,108.154,-43.396
0.061,1.793,-1.090,26.855,104.919,-43.945
-0.101,1.802,-1.128,35.522,101.257,-42.847
0.179,1.639,-1.014,44.617,92.529,-50.476
0.180,1.575,-1.059,56.763,88.013,-50.720
0.255,1.459,-1.045,67.200,87.097,-48.889
0.291,1.322,-1.007,70.007,82.886,-46.753
0.336,1.197,-0.960,69.519,78.796,-39.795
0.378,1.088,-0.895,67.993,74.524,-29.785
0.404,0.986,-0.823,65.674,70.190,-19.897
0.433,0.907,-0.796,63.538,67.444,-10.498
0.463,0.864,-0.748,64.148,62.439,-4.089
0.436,0.793,-0.713,64.331,53.711,-6.042
0.417,0.686,-0.685,67.627,46.204,-14.343
0.397,0.569,-0.649,71.228,34.241,-22.705
0.354,0.461,-0.600,70.007,25.024,-28.259
0.345,0.377,-0.558,65.613,18.921,-28.503
0.332,0.320,-0.529,58.899,15.137,-22.949
0.291,0.299,-0.487,48.950,12.695,-14.099
0.258,0.305,-0.467,40.283,10.864,-5.676
0.226,0.314,-0.465,33.691,9.949,-0.732
0.183,0.334,-0.452,28.442,7.690,0.854
0.134,0.353,-0.443,26.062,5.676,0.122
0.097,0.368,-0.426,25.452,4.395,-2.441
0.059,0.365,-0.411,26.917,3.235,-6.714
0.033,0.340,-0.393,28.809,2.258,-11.292
0.011,0.310,-0.368,28.015,0.916,-13.367
-0.013,0.297,-0.322,24.231,-0.793,-13.123
-0.033,0.296,-0.298,19.836,-1.892,-11.230
-0.050,0.305,-0.307,15.137,-1.892,-8.667
-0.073,0.333,-0.320,8.484,-1.770,-5.554
-0.098,0.380,-0.310,0.183,-2.319,-2.991
-0.127,0.454,-0.310,-6.042,-2.502,-0.366
-0.141,0.538,-0.331,-8.667,-2.869,1.770
-0.163,0.610,-0.344,-8.789,-4.517,1.221
-0.187,0.677,-0.355,-6.348,-6.714,-1.099
-0.205,0.713,-0.376,-1.648,-8.606,-4.089
-0.215,0.718,-0.376,1.770,-9.216,-6.958
-0.215,0.724,-0.374,2.869,-8.606,-6.531
-0.216,0.735,-0.367,1.099,-7.019,-3.113
-0.220,0.751,-0.358,-2.502,-5.249,1.892
-0.213,0.776,-0.350,-6.348,-3.784,8.179
-0.217,0.799,-0.352,-9.094,-1.648,13.184
-0.219,0.812,-0.355,-11.108,-0.244,16.663
-0.211,0.828,-0.370,-12.573,0.793,18.799
-0.215,0.854,-0.376,-13.916,0.427,19.409
-0.227,0.878,-0.365,-13.672,-1.343,17.517
-0.232,0.892,-0.375,-10.254,-2.991,13.977
-0.226,0.890,-0.372,-6.348,-4.211,9.277
-0.240,0.889,-0.355,-3.906,-5.798,5.249

-0.436,1.599,-0.655,6.409,26.306,-35.217
-0.403,1.681,-0.714,11.108,33.508,-32.776
-0.339,1.757,-0.785,15.625,40.649,-30.090
-0.244,1.831,-0.869,20.203,45.532,-27.344
-0.177,1.921,-0.941,25.513,46.570,-23.132
-0.101,2.024,-1.005,33.875,44.434,-18.372
-0.024,2.107,-1.078,45.532,43.335,-15.442
0.053,2.145,-1.154,60.364,43.030,-14.526
0.132,2.132,-1.208,76.965,41.992,-13.611
0.203,2.067,-1.224,93.079,40.283,-11.597
0.273,1.961,-1.193,107.361,38.757,-7.751
0.349,1.812,-1.138,120.361,38.879,-2.747
0.451,1.636,-1.091,130.188,40.283,1.709
0.577,1.453,-1.019,134.094,41.016,6.287
0.685,1.252,-0.929,133.545,38.574,10.498
0.769,1.037,-0.819,132.690,32.043,16.235
0.838,0.829,-0.703,131.409,23.743,24.109
0.864,0.638,-0.579,128.540,15.320,34.058
0.900,0.467,-0.473,126.038,6.470,43.518
0.942,0.294,-0.378,123.840,-0.671,47.974
0.980,0.125,-0.291,114.075,-8.911,43.274
1.002,-0.090,-0.183,101.929,-20.996,27.039
1.039,-0.292,-0.111,94.055,-38.025,11.963
1.052,-0.489,-0.068,93.079,-55.969,0.122
1.012,-0.660,0.007,88.318,-79.224,-2.930
0.939,-0.818,0.079,82.642,-98.450,-2.747
0.855,-1.009,0.118,80.872,-113.220,-7.629
0.757,-1.207,0.135,78.003,-127.014,-13.245
0.653,-1.367,0.157,70.129,-140.625,-14.648
0.550,-1.477,0.188,59.143,-153.809,-11.047
0.450,-1.536,0.203,44.006,-164.429,-5.188
0.340,-1.532,0.166,23.865,-169.495,1.038
0.228,-1.476,0.112,2.869,-172.119,5.493
0.091,-1.394,0.042,-15.503,-174.622,6.409
-0.062,-1.298,-0.027,-31.555,-178.345,4.211
-0.249,-1.195,-0.107,-45.105,-181.763,-0.610
-0.488,-1.138,-0.179,-55.359,-181.885,-7.019
-0.731,-1.085,-0.242,-66.162,-178.345,-12.817
-0.949,-1.002,-0.297,-80.811,-169.128,-15.015
-1.113,-0.888,-0.399,-97.229,-153.931,-13.855
-1.266,-0.712,-0.519,-117.554,-135.315,-8.789
-1.402,-0.469,-0.594,-141.968,-118.103,-4.028
-1.490,-0.183,-0.681,-162.964,-102.173,-3.052
-1.534,0.136,-0.814,-175.537,-86.792,-7.263
-1.545,0.472,-0.945,-182.068,-74.646,-15.259
-1.551,0.807,-1.040,-183.044,-66.589,-24.536
-1.568,1.110,-1.113,-177.246,-58.594,-32.410
-1.573,1.357,-1.174,-168.457,-46.936,-36.682
-1.557,1.554,-1.212,-161.499,-32.166,-35.889
-1.525,1.741,-1.247,-156.311,-15.320,-29.236
-1.504,1.909,-1.271,-152.161,1.160,-19.653
-1.481,2.032,-1.259,-146.606,15.747,-11.780
-1.427,2.105,-1.246,-135.925,29.541,-8.057
-1.344,2.123,-1.215,-122.437,41.687,-9.277
-1.257,2.104,-1.174,-109.741,51.636,-13.184
-1.154,2.092,-1.151,-99.182,60.303,-16.113
-1.046,2.111,-1.132,-91.614,68.604,-17.090
-0.951,2.139,-1.128,-83.496,76.172,-16.418
-0.837,2.146,-1.139,-73.242,82.520,-15.808
-0.732,2.137,-1.121,-61.707,87.158,-16.785
-0.610,2.107,-1.090,-47.668,89.600,-20.081
-0.486,2.053,-1.067,-31.982,90.637,-24.719
-0.372,1.998,-1.035,-17.578,90.088,-28.198
-0.272,1.938,-1.002,-5.737,89.233,-29.175
-0.178,1.872,-0.992,5.249,88.257,-29.480
-0.093,1.793,-0.998,15.686,86.731,-29.541
-0.034,1.706,-0.989,22.522,83.374,-29.358
0.011,1.617,-0.964,27.405,78.857,-28.931
0.050,1.551,-0.953,31.860,75.012,-27.466
-0.156,1.546,-0.942,35.767,72.388,-25.940
0.137,1.396,-0.922,35.400,69.946,-33.203
0.136,1.372,-0.974,39.307,62.744,-35.339
0.195,1.337,-0.998,43.579,60.913,-31.555
0.206,1.299,-0.972,44.373,55.664,-29.907
0.213,1.257,-0.949,46.082,50.659,-27.466
0.242,1.206,-0.930,48.340,48.584,-25.757
0.257,1.133,-0.908,51.270,46.448,-25.635
0.271,1.060,-0.880,54.749,44.373,-23.804
0.293,1.003,-0.843,58.350,42.847,-19.165
0.320,0.953,-0.829,62.134,41.748,-14.343
0.344,0.895,-0.812,64.331,40.161,-12.878
0.358,0.816,-0.778,63.904,35.950,-15.930
0.376,0.723,-0.703,62.256,27.344,-19.897
0.338,0.638,-0.632,59.326,19.897,-21.545
0.322,0.554,-0.572,58.411,15.930,-19.775
0.312,0.477,-0.509,57.190,11.902,-16.479
0.289,0.409,-0.476,54.993,8.972,-12.878
0.271,0.345,-0.447,50.720,6.287,-9.338
0.243,0.311,-0.396,43.945,2.441,-5.676
0.206,0.313,-0.354,38.757,-1.038,-1.526
0.166,0.304,-0.333,34.546,-3.113,-1.160
0.112,0.294,-0.322,30.701,-4.578,-3.174
0.073,0.296,-0.305,26.733,-5.737,-5.554
0.034,0.291,-0.293,23.560,-5.798,-7.080
0.006,0.286,-0.283,19.409,-5.066,-7.324
-0.012,0.297,-0.267,14.648,-4.028,-5.798
-0.032,0.322,-0.258,10.193,-2.808,-3.967
-0.052,0.359,-0.252,6.958,-2.014,-2.747
-0.069,0.415,-0.260,5.798,-2.014,-2.441
-0.086,0.460,-0.274,6.409,-2.502,-3.723
-0.098,0.487,-0.289,6.592,-3.174,-6.348
-0.115,0.518,-0.313,5.188,-3.418,-7.019
-0.109,0.544,-0.304,3.113,-3.174,-5.615
-0.129,0.574,-0.314,0.244,-3.723,-2.930
-0.131,0.604,-0.310,-3.601,-3.235,0.061
-0.146,0.646,-0.325,-7.568,-2.563,3.723
-0.164,0.694,-0.367,-11.230,-1.526,5.493
-0.149,0.740,-0.372,-13.428,-2.625,6.042
-0.173,0.775,-0.393,-15.625,-3.601,5.066
-0.184,0.812,-0.427,-15.930,-3.174,5.981
-0.189,0.837,-0.426,-16.235,-3.235,6.348
-0.199,0.854,-0.443,-16.602,-2.563,6.653
-0.191,0.870,-0.459,-17.700,-1.709,7.629
-0.191,0.899,-0.450,-19.226,-1.892,9.155
-0.190,0.923,-0.441,-19.287,-2.075,10.376
-0.189,0.937,-0.446,-17.822,-1.770,9.644
-0.186,0.949,-0.453,-15.869,-1.648,9.033
-0.192,0.967,-0.456,-13.794,-1.831,9.155
-0.193,0.980,-0.466,-11.292,-1.892,9.094

-0.487,1.566,-0.607,24.414,15.930,-42.908
-0.463,1.656,-0.620,33.569,22.827,-53.223
-0.384,1.722,-0.622,42.786,30.518,-64.148
-0.244,1.787,-0.628,51.514,39.185,-72.083
-0.076,1.864,-0.664,59.265,48.645,-74.463
0.105,1.925,-0.719,66.467,54.932,-72.693
0.247,1.971,-0.750,71.899,54.016,-68.787
0.344,1.980,-0.782,79.651,50.354,-59.143
0.458,1.987,-0.803,86.853,44.739,-49.255
0.540,1.908,-0.868,100.098,40.466,-40.039
0.561,1.803,-0.901,108.582,32.959,-26.428
0.578,1.682,-0.880,114.563,23.743,-10.193
0.595,1.526,-0.866,120.361,18.677,3.296
0.609,1.348,-0.829,123.596,15.625,13.611
0.625,1.173,-0.780,124.573,12.756,21.851
0.665,1.020,-0.724,124.756,9.460,29.602
0.731,0.897,-0.669,124.695,6.470,36.560
0.813,0.756,-0.612,124.268,3.967,39.551
0.901,0.613,-0.564,124.023,0.244,40.710
0.947,0.455,-0.501,124.023,-7.324,42.053
0.969,0.268,-0.415,122.620,-18.433,41.504
0.995,0.049,-0.344,119.446,-30.151,37.659
1.005,-0.162,-0.291,115.601,-44.067,33.997
0.984,-0.327,-0.183,108.826,-62.988,33.630
0.971,-0.464,-0.066,98.877,-79.956,34.058
0.979,-0.594,0.011,88.623,-90.942,32.471
0.996,-0.748,0.047,76.904,-100.952,29.602
0.980,-0.920,0.064,65.125,-110.901,27.649
0.910,-1.101,-0.013,55.420,-122.070,25.330
0.774,-1.332,-0.097,46.204,-132.751,17.578
0.599,-1.537,-0.133,35.156,-149.048,6.348
0.426,-1.730,-0.130,21.912,-164.001,-6.897
0.243,-1.863,-0.117,4.211,-173.950,-18.738
0.070,-1.910,-0.112,-16.907,-178.345,-26.001
-0.096,-1.868,-0.149,-40.955,-174.744,-29.419
-0.247,-1.750,-0.220,-67.871,-163.818,-29.907
-0.396,-1.568,-0.324,-95.825,-149.231,-26.855
-0.552,-1.348,-0.454,-121.033,-134.155,-18.372
-0.751,-1.069,-0.587,-144.165,-123.169,-5.371
-1.019,-0.744,-0.744,-161.926,-115.906,7.629
-1.325,-0.368,-0.943,-173.645,-108.093,17.639
-1.600,0.046,-1.125,-181.763,-96.191,23.499
-1.818,0.455,-1.274,-183.777,-81.726,26.611
-1.973,0.843,-1.410,-179.565,-65.552,26.611
-2.045,1.164,-1.474,-174.561,-47.729,23.132
-2.057,1.406,-1.424,-170.410,-31.799,18.494
-2.032,1.574,-1.340,-163.940,-15.991,15.137
-1.960,1.692,-1.282,-153.259,0.854,14.893
-1.834,1.785,-1.216,-145.264,16.541,16.602
-1.720,1.878,-1.137,-140.869,29.358,18.677
-1.605,1.954,-1.107,-134.399,41.626,20.508
-1.486,2.020,-1.109,-126.648,52.979,20.813
-1.439,2.062,-1.135,-116.760,60.852,18.616
-1.224,1.976,-1.010,-99.182,63.599,10.986
-1.201,2.000,-1.133,-85.632,78.369,19.531
-1.024,1.919,-1.094,-82.642,87.524,13.184
-0.941,1.855,-1.031,-80.688,87.219,9.460
-0.825,1.782,-0.959,-73.303,88.745,3.174
-0.738,1.713,-0.864,-60.608,88.806,-2.258
-0.726,1.721,-0.941,-45.654,92.957,-3.113
-0.501,1.693,-0.895,-31.860,96.191,-5.676
-0.394,1.710,-0.906,-25.696,94.727,-10.193
-0.264,1.707,-0.881,-21.545,92.529,-17.639
-0.159,1.685,-0.849,-16.602,87.219,-25.085
-0.069,1.661,-0.815,-11.047,82.214,-31.067
-0.008,1.613,-0.781,-6.897,79.346,-35.400
0.032,1.558,-0.739,-3.296,76.599,-36.987
0.061,1.539,-0.719,0.427,74.585,-34.912
0.163,1.477,-0.723,1.404,73.975,-33.203
0.186,1.468,-0.712,3.601,65.979,-32.166
0.240,1.449,-0.674,7.812,57.007,-30.029
0.243,1.419,-0.667,10.925,50.659,-31.616
0.243,1.377,-0.661,14.038,44.739,-33.081
0.237,1.336,-0.674,17.517,40.100,-30.579
0.233,1.317,-0.705,19.531,37.537,-25.024
0.205,1.320,-0.734,21.606,35.889,-16.968
0.182,1.300,-0.748,25.696,34.546,-9.827
0.130,1.304,-0.776,30.945,33.569,-4.089
0.091,1.265,-0.757,38.818,29.419,-4.822
0.061,1.184,-0.762,47.607,23.560,-10.376
0.031,1.093,-0.752,55.359,17.395,-16.296
0.003,1.010,-0.733,60.547,11.780,-18.799
0.000,0.939,-0.713,62.378,8.728,-19.043
-0.013,0.880,-0.668,58.533,6.470,-17.639
-0.048,0.817,-0.617,54.260,5.554,-15.625
-0.069,0.775,-0.583,53.528,4.089,-12.634
-0.077,0.729,-0.551,52.612,2.808,-11.230
-0.075,0.675,-0.536,51.147,1.831,-10.803
-0.071,0.629,-0.522,49.072,-0.061,-9.277
-0.070,0.575,-0.501,46.692,-3.723,-8.362
-0.072,0.523,-0.480,44.861,-8.301,-8.240
-0.080,0.482,-0.451,43.396,-13.062,-8.789
-0.089,0.440,-0.428,42.053,-17.578,-10.742
-0.109,0.394,-0.405,40.344,-21.118,-12.756
-0.134,0.345,-0.382,37.720,-23.499,-15.137
-0.156,0.301,-0.360,33.386,-24.902,-17.151
-0.172,0.269,-0.337,27.588,-24.353,-17.578
-0.179,0.251,-0.341,21.973,-21.179,-15.198
-0.187,0.254,-0.333,15.442,-17.822,-10.376
-0.183,0.277,-0.309,9.155,-15.015,-5.371
-0.178,0.295,-0.309,5.493,-11.719,-3.174
-0.162,0.313,-0.311,2.319,-9.216,-3.052
-0.146,0.336,-0.317,-0.061,-8.301,-2.747
-0.133,0.373,-0.332,-2.563,-8.667,-1.892
-0.149,0.418,-0.320,-5.981,-11.047,-1.648
-0.175,0.446,-0.313,-8.423,-13.306,-3.662
-0.194,0.458,-0.319,-10.254,-13.733,-6.592
-0.211,0.477,-0.332,-12.695,-13.245,-7.385
-0.223,0.509,-0.345,-15.808,-11.047,-5.493
-0.221,0.547,-0.363,-18.799,-7.812,-2.686
-0.212,0.586,-0.384,-21.912,-4.517,-0.610
-0.206,0.640,-0.397,-24.780,-2.197,1.831
-0.203,0.691,-0.416,-25.757,-0.427,3.418
-0.198,0.724,-0.432,-25.330,0.183,3.235
-0.192,0.746,-0.454,-24.353,-0.122,2.563
-0.181,0.760,-0.475,-23.865,-1.038,2.319
-0.180,0.784,-0.485,-24.048,-2.502,3.418
-0.172,0.818,-0.492,-24.475,-3.723,5.127
-0.174,0.853,-0.505,-24.902,-4.150,6.104

-0.669,1.327,-0.797,-10.559,13.000,-64.636
-0.609,1.461,-0.861,-5.249,20.447,-76.843
-0.504,1.582,-0.911,-0.671,27.527,-85.449
-0.390,1.699,-0.958,4.150,32.959,-90.454
-0.267,1.797,-1.001,9.521,36.133,-92.346
-0.141,1.899,-1.040,14.832,37.109,-92.285
-0.013,2.000,-1.080,22.766,35.889,-90.332
0.066,2.058,-1.100,33.752,32.349,-85.876
0.104,2.054,-1.118,46.936,29.297,-77.637
0.147,1.991,-1.119,59.692,29.297,-65.186
0.216,1.884,-1.080,70.984,31.128,-50.781
0.311,1.810,-1.052,80.872,35.522,-33.203
0.428,1.750,-1.058,92.407,39.368,-14.771
0.564,1.663,-1.081,104.919,40.649,-1.343
0.681,1.527,-1.082,115.295,36.804,8.789
0.787,1.353,-1.014,121.582,28.503,18.494
0.893,1.176,-0.924,124.817,20.081,30.334
0.984,1.002,-0.823,126.709,12.512,42.480
1.093,0.830,-0.747,128.845,5.676,53.528
1.183,0.671,-0.697,129.211,-1.648,65.369
1.227,0.531,-0.650,126.709,-12.146,77.454
1.243,0.391,-0.606,122.437,-25.452,86.914
1.240,0.226,-0.565,116.211,-38.452,92.468
1.224,0.043,-0.520,107.422,-49.683,96.985
1.202,-0.156,-0.474,94.055,-57.556,105.225
1.155,-0.317,-0.473,77.026,-61.768,118.896
1.078,-0.460,-0.442,55.176,-64.697,134.705
1.012,-0.558,-0.414,33.936,-66.406,148.254
0.945,-0.609,-0.431,21.301,-70.435,155.579
0.834,-0.687,-0.429,20.386,-85.693,149.780
0.687,-0.823,-0.373,29.480,-112.305,126.770
0.507,-1.029,-0.259,43.396,-147.949,87.036
0.300,-1.294,-0.129,55.359,-185.303,37.537
0.079,-1.562,0.004,57.007,-216.187,-6.897
-0.124,-1.779,0.124,43.457,-236.816,-36.743
-0.322,-1.908,0.211,13.062,-243.958,-49.133
-0.518,-1.908,0.223,-28.748,-236.877,-44.800
-0.713,-1.777,0.140,-74.158,-219.299,-31.006
-0.885,-1.548,-0.000,-114.136,-196.411,-17.334
-0.997,-1.299,-0.218,-141.357,-171.143,-9.521
-1.079,-1.029,-0.517,-154.480,-148.499,-7.812
-1.210,-0.757,-0.765,-162.170,-134.521,-13.611
-1.389,-0.515,-0.870,-168.884,-132.568,-27.222
-1.533,-0.325,-0.956,-168.213,-128.479,-45.410
-1.598,-0.184,-1.079,-162.781,-113.403,-60.974
-1.612,0.010,-1.210,-163.025,-92.102,-65.063
-1.616,0.268,-1.316,-171.387,-70.557,-56.702
-1.630,0.560,-1.383,-182.129,-49.072,-44.434
-1.616,0.845,-1.426,-187.134,-28.137,-33.630
-1.570,1.106,-1.466,-183.472,-8.118,-26.550
-1.484,1.329,-1.505,-174.438,10.559,-22.461
-1.391,1.514,-1.537,-163.269,27.527,-19.287
-1.312,1.660,-1.531,-150.085,40.161,-16.174
-1.229,1.730,-1.506,-135.864,49.866,-15.564
-1.156,1.740,-1.489,-122.192,59.326,-17.151
